Sales Person,Country,Product,Date,Amount,Boxes Shipped,3%,5%,First Name,Second Name
Gunar Cockshoot,India,Baker's Choco Chips,18-03-23,"$2,385.40 ",540,$71.56 ,$119.27 ,Gunar,Cockshoot
Van Tuxwell,Australia,50% Dark Bites,13-07-23,$726.04 ,131,$21.78 ,$36.30 ,Van,Tuxwell
Oby Sorrel,USA,Manuka Honey Choco,25-07-23,"$4,742.35 ",83,$142.27 ,$237.12 ,Oby,Sorrel
Van Tuxwell,Canada,Choco Coated Almonds,19-08-23,"$2,556.96 ",312,$76.71 ,$127.85 ,Van,Tuxwell
Karlen McCaffrey,Canada,70% Dark Bites,24-06-23,"$8,376.69 ",646,$251.30 ,$418.83 ,Karlen,McCaffrey
Kelci Walkden,Canada,Fruit & Nut Bars,20-06-23,$840.71 ,162,$25.22 ,$42.04 ,Kelci,Walkden
Camilla Castle,India,99% Dark & Pure,02-08-23,$207.87 ,216,$6.24 ,$10.39 ,Camilla,Castle
Madelene Upcott,New Zealand,70% Dark Bites,22-02-23,"$13,370.34 ",94,$401.11 ,$668.52 ,Madelene,Upcott
Mallorie Waber,New Zealand,Orange Choco,01-02-23,"$6,811.37 ",25,$204.34 ,$340.57 ,Mallorie,Waber
Jan Morforth,Canada,70% Dark Bites,14-02-23,"$6,096.52 ",300,$182.90 ,$304.83 ,Jan,Morforth
Kelci Walkden,Australia,Milk Bars,24-02-23,"$8,684.58 ",120,$260.54 ,$434.23 ,Kelci,Walkden
Dennison Crosswaite,India,Orange Choco,18-03-23,$873.26 ,140,$26.20 ,$43.66 ,Dennison,Crosswaite
Husein Augar,UK,Eclairs,30-08-23,"$1,912.66 ",253,$57.38 ,$95.63 ,Husein,Augar
Gigi Bohling,USA,Peanut Butter Cubes,09-05-23,$321.61 ,76,$9.65 ,$16.08 ,Gigi,Bohling
Wilone O'Kielt,USA,Smooth Sliky Salty,18-01-23,$511.12 ,96,$15.33 ,$25.56 ,Wilone,O'Kielt
Curtice Advani,India,White Choc,04-07-23,"$7,887.15 ",335,$236.61 ,$394.36 ,Curtice,Advani
Oby Sorrel,New Zealand,Spicy Special Slims,03-06-23,"$1,793.67 ",13,$53.81 ,$89.68 ,Oby,Sorrel
Beverie Moffet,New Zealand,Peanut Butter Cubes,23-02-23,"$12,129.42 ",29,$363.88 ,$606.47 ,Beverie,Moffet
Dotty Strutley,New Zealand,99% Dark & Pure,09-05-23,"$11,749.75 ",213,$352.49 ,$587.49 ,Dotty,Strutley
Kelci Walkden,India,70% Dark Bites,06-06-23,"$3,967.25 ",101,$119.02 ,$198.36 ,Kelci,Walkden
Kelci Walkden,India,Drinking Coco,04-07-23,"$8,105.37 ",255,$243.16 ,$405.27 ,Kelci,Walkden
Brien Boise,New Zealand,Drinking Coco,06-06-23,"$1,614.17 ",106,$48.43 ,$80.71 ,Brien,Boise
Dotty Strutley,Australia,Almond Choco,13-05-23,"$1,613.30 ",91,$48.40 ,$80.67 ,Dotty,Strutley
Wilone O'Kielt,New Zealand,Organic Choco Syrup,31-01-23,"$2,155.64 ",281,$64.67 ,$107.78 ,Wilone,O'Kielt
Ches Bonnell,New Zealand,Caramel Stuffed Bars,30-06-23,"$8,184.37 ",43,$245.53 ,$409.22 ,Ches,Bonnell
Barr Faughny,Canada,Manuka Honey Choco,25-08-23,"$3,613.32 ",251,$108.40 ,$180.67 ,Barr,Faughny
Gigi Bohling,New Zealand,Smooth Sliky Salty,10-01-23,$801.09 ,101,$24.03 ,$40.05 ,Gigi,Bohling
Brien Boise,USA,Manuka Honey Choco,22-08-23,"$2,069.48 ",8,$62.08 ,$103.47 ,Brien,Boise
Roddy Speechley,New Zealand,85% Dark Bars,14-04-23,"$5,096.21 ",284,$152.89 ,$254.81 ,Roddy,Speechley
Oby Sorrel,UK,Smooth Sliky Salty,31-05-23,"$10,573.50 ",338,$317.21 ,$528.68 ,Oby,Sorrel
Oby Sorrel,UK,Raspberry Choco,08-04-23,"$4,611.37 ",322,$138.34 ,$230.57 ,Oby,Sorrel
Roddy Speechley,USA,Drinking Coco,21-02-23,"$3,288.77 ",148,$98.66 ,$164.44 ,Roddy,Speechley
Andria Kimpton,Australia,Manuka Honey Choco,30-03-23,"$10,883.13 ",394,$326.49 ,$544.16 ,Andria,Kimpton
Mallorie Waber,India,Raspberry Choco,02-03-23,"$1,516.56 ",2,$45.50 ,$75.83 ,Mallorie,Waber
Jehu Rudeforth,USA,Orange Choco,28-07-23,$391.33 ,184,$11.74 ,$19.57 ,Jehu,Rudeforth
Kaine Padly,New Zealand,70% Dark Bites,24-03-23,"$7,969.08 ",38,$239.07 ,$398.45 ,Kaine,Padly
Curtice Advani,Australia,After Nines,11-08-23,$63.71 ,109,$1.91 ,$3.19 ,Curtice,Advani
Husein Augar,UK,Almond Choco,17-05-23,"$8,832.33 ",175,$264.97 ,$441.62 ,Husein,Augar
Kaine Padly,Canada,Choco Coated Almonds,18-05-23,"$3,542.19 ",180,$106.27 ,$177.11 ,Kaine,Padly
Roddy Speechley,UK,Peanut Butter Cubes,17-08-23,"$6,052.07 ",173,$181.56 ,$302.60 ,Roddy,Speechley
Ches Bonnell,New Zealand,Eclairs,04-04-23,$543.20 ,54,$16.30 ,$27.16 ,Ches,Bonnell
Brien Boise,India,85% Dark Bars,09-08-23,"$18,894.92 ",201,$566.85 ,$944.75 ,Brien,Boise
Brien Boise,New Zealand,Organic Choco Syrup,17-01-23,$689.40 ,331,$20.68 ,$34.47 ,Brien,Boise
Andria Kimpton,Canada,White Choc,14-02-23,"$4,435.95 ",31,$133.08 ,$221.80 ,Andria,Kimpton
Gigi Bohling,New Zealand,Orange Choco,16-05-23,"$9,111.34 ",324,$273.34 ,$455.57 ,Gigi,Bohling
Ches Bonnell,Canada,Smooth Sliky Salty,16-03-23,"$10,369.71 ",129,$311.09 ,$518.49 ,Ches,Bonnell
Husein Augar,Canada,70% Dark Bites,31-01-23,"$5,833.20 ",290,$175.00 ,$291.66 ,Husein,Augar
Barr Faughny,Canada,Organic Choco Syrup,10-03-23,"$1,229.96 ",219,$36.90 ,$61.50 ,Barr,Faughny
Oby Sorrel,UK,Organic Choco Syrup,30-06-23,"$8,839.72 ",170,$265.19 ,$441.99 ,Oby,Sorrel
Van Tuxwell,New Zealand,Eclairs,01-03-23,"$5,747.66 ",176,$172.43 ,$287.38 ,Van,Tuxwell
Mallorie Waber,UK,Drinking Coco,27-05-23,"$3,666.04 ",107,$109.98 ,$183.30 ,Mallorie,Waber
Oby Sorrel,UK,Milk Bars,11-07-23,"$6,853.82 ",220,$205.61 ,$342.69 ,Oby,Sorrel
Karlen McCaffrey,New Zealand,Mint Chip Choco,02-03-23,"$4,361.01 ",59,$130.83 ,$218.05 ,Karlen,McCaffrey
Jehu Rudeforth,USA,Raspberry Choco,04-03-23,"$7,686.15 ",141,$230.58 ,$384.31 ,Jehu,Rudeforth
Kelci Walkden,UK,85% Dark Bars,23-06-23,"$4,188.43 ",235,$125.65 ,$209.42 ,Kelci,Walkden
Kelci Walkden,USA,Almond Choco,27-01-23,"$5,425.24 ",234,$162.76 ,$271.26 ,Kelci,Walkden
Marney O'Breen,Canada,Orange Choco,14-01-23,"$2,896.97 ",456,$86.91 ,$144.85 ,Marney,O'Breen
Dennison Crosswaite,India,Fruit & Nut Bars,29-07-23,"$1,071.31 ",23,$32.14 ,$53.57 ,Dennison,Crosswaite
Brien Boise,Canada,Smooth Sliky Salty,13-05-23,"$6,417.05 ",497,$192.51 ,$320.85 ,Brien,Boise
Barr Faughny,Canada,Baker's Choco Chips,03-02-23,"$10,967.31 ",172,$329.02 ,$548.37 ,Barr,Faughny
Brien Boise,India,Smooth Sliky Salty,27-05-23,"$6,345.02 ",28,$190.35 ,$317.25 ,Brien,Boise
Jan Morforth,Australia,Drinking Coco,18-02-23,"$2,824.71 ",25,$84.74 ,$141.24 ,Jan,Morforth
Brien Boise,India,Spicy Special Slims,28-01-23,"$1,463.67 ",34,$43.91 ,$73.18 ,Brien,Boise
Van Tuxwell,UK,Eclairs,29-06-23,"$5,856.52 ",115,$175.70 ,$292.83 ,Van,Tuxwell
Wilone O'Kielt,India,Caramel Stuffed Bars,13-01-23,"$4,303.86 ",282,$129.12 ,$215.19 ,Wilone,O'Kielt
Jehu Rudeforth,UK,After Nines,27-06-23,"$2,047.77 ",169,$61.43 ,$102.39 ,Jehu,Rudeforth
Barr Faughny,Canada,White Choc,29-03-23,"$4,692.36 ",1,$140.77 ,$234.62 ,Barr,Faughny
Gunar Cockshoot,India,Organic Choco Syrup,03-06-23,"$7,302.42 ",153,$219.07 ,$365.12 ,Gunar,Cockshoot
Mallorie Waber,Canada,Smooth Sliky Salty,21-03-23,"$2,056.92 ",103,$61.71 ,$102.85 ,Mallorie,Waber
Mallorie Waber,India,Eclairs,12-04-23,"$11,032.79 ",49,$330.98 ,$551.64 ,Mallorie,Waber
Rafaelita Blaksland,Australia,Raspberry Choco,19-01-23,"$7,773.64 ",247,$233.21 ,$388.68 ,Rafaelita,Blaksland
Karlen McCaffrey,UK,50% Dark Bites,06-04-23,"$3,843.01 ",295,$115.29 ,$192.15 ,Karlen,McCaffrey
Kaine Padly,Australia,50% Dark Bites,02-08-23,"$9,163.79 ",81,$274.91 ,$458.19 ,Kaine,Padly
Gigi Bohling,Australia,Eclairs,12-04-23,"$7,628.59 ",146,$228.86 ,$381.43 ,Gigi,Bohling
Oby Sorrel,India,Drinking Coco,21-07-23,"$18,220.59 ",139,$546.62 ,$911.03 ,Oby,Sorrel
Van Tuxwell,New Zealand,Baker's Choco Chips,22-03-23,"$9,828.94 ",24,$294.87 ,$491.45 ,Van,Tuxwell
Husein Augar,India,Peanut Butter Cubes,09-05-23,"$4,726.65 ",5,$141.80 ,$236.33 ,Husein,Augar
Andria Kimpton,Australia,Baker's Choco Chips,09-08-23,$344.82 ,118,$10.34 ,$17.24 ,Andria,Kimpton
Madelene Upcott,Canada,Choco Coated Almonds,20-07-23,"$3,451.24 ",283,$103.54 ,$172.56 ,Madelene,Upcott
Brien Boise,India,70% Dark Bites,14-04-23,"$5,071.49 ",439,$152.14 ,$253.57 ,Brien,Boise
Jehu Rudeforth,Canada,White Choc,25-01-23,"$4,719.38 ",132,$141.58 ,$235.97 ,Jehu,Rudeforth
Andria Kimpton,Australia,Almond Choco,25-04-23,"$3,430.58 ",174,$102.92 ,$171.53 ,Andria,Kimpton
Dotty Strutley,Canada,After Nines,17-01-23,$268.30 ,239,$8.05 ,$13.42 ,Dotty,Strutley
Karlen McCaffrey,USA,Eclairs,15-08-23,$991.46 ,133,$29.74 ,$49.57 ,Karlen,McCaffrey
Karlen McCaffrey,Canada,Fruit & Nut Bars,02-06-23,$213.45 ,17,$6.40 ,$10.67 ,Karlen,McCaffrey
Gunar Cockshoot,USA,85% Dark Bars,30-06-23,"$7,586.38 ",131,$227.59 ,$379.32 ,Gunar,Cockshoot
Dotty Strutley,New Zealand,Raspberry Choco,10-02-23,"$6,192.19 ",99,$185.77 ,$309.61 ,Dotty,Strutley
Marney O'Breen,Canada,Caramel Stuffed Bars,23-02-23,"$1,510.58 ",602,$45.32 ,$75.53 ,Marney,O'Breen
Dennison Crosswaite,India,Organic Choco Syrup,27-01-23,"$8,693.31 ",209,$260.80 ,$434.67 ,Dennison,Crosswaite
Camilla Castle,UK,Mint Chip Choco,26-05-23,"$5,509.77 ",307,$165.29 ,$275.49 ,Camilla,Castle
Brien Boise,USA,70% Dark Bites,14-04-23,"$1,863.20 ",22,$55.90 ,$93.16 ,Brien,Boise
Madelene Upcott,Australia,99% Dark & Pure,01-08-23,"$4,822.50 ",159,$144.68 ,$241.13 ,Madelene,Upcott
Mallorie Waber,Australia,Eclairs,22-08-23,"$10,856.55 ",229,$325.70 ,$542.83 ,Mallorie,Waber
Marney O'Breen,India,99% Dark & Pure,22-07-23,"$11,252.11 ",159,$337.56 ,$562.61 ,Marney,O'Breen
Husein Augar,USA,Fruit & Nut Bars,28-04-23,"$1,387.72 ",27,$41.63 ,$69.39 ,Husein,Augar
Kelci Walkden,Australia,Almond Choco,30-05-23,"$5,509.22 ",341,$165.28 ,$275.46 ,Kelci,Walkden
Ches Bonnell,USA,Milk Bars,21-07-23,"$2,444.25 ",155,$73.33 ,$122.21 ,Ches,Bonnell
Jan Morforth,UK,Caramel Stuffed Bars,02-08-23,"$3,175.62 ",507,$95.27 ,$158.78 ,Jan,Morforth
Brien Boise,New Zealand,70% Dark Bites,15-06-23,"$7,900.42 ",143,$237.01 ,$395.02 ,Brien,Boise
Oby Sorrel,India,85% Dark Bars,05-07-23,"$9,072.46 ",142,$272.17 ,$453.62 ,Oby,Sorrel
Kaine Padly,New Zealand,Smooth Sliky Salty,12-04-23,$8.06 ,513,$0.24 ,$0.40 ,Kaine,Padly
Gigi Bohling,Australia,70% Dark Bites,18-08-23,"$1,548.54 ",104,$46.46 ,$77.43 ,Gigi,Bohling
Jan Morforth,UK,50% Dark Bites,12-01-23,"$5,501.67 ",298,$165.05 ,$275.08 ,Jan,Morforth
Gunar Cockshoot,Canada,White Choc,11-08-23,"$7,685.42 ",15,$230.56 ,$384.27 ,Gunar,Cockshoot
Jehu Rudeforth,Australia,Spicy Special Slims,13-01-23,"$5,147.77 ",402,$154.43 ,$257.39 ,Jehu,Rudeforth
Husein Augar,UK,Baker's Choco Chips,29-04-23,"$3,070.43 ",143,$92.11 ,$153.52 ,Husein,Augar
Rafaelita Blaksland,New Zealand,After Nines,07-07-23,"$1,127.50 ",88,$33.83 ,$56.38 ,Rafaelita,Blaksland
Madelene Upcott,New Zealand,Mint Chip Choco,11-03-23,"$8,502.77 ",4,$255.08 ,$425.14 ,Madelene,Upcott
Madelene Upcott,UK,70% Dark Bites,16-02-23,"$5,961.02 ",241,$178.83 ,$298.05 ,Madelene,Upcott
Barr Faughny,Australia,Organic Choco Syrup,07-01-23,"$2,478.33 ",33,$74.35 ,$123.92 ,Barr,Faughny
Beverie Moffet,New Zealand,Drinking Coco,12-01-23,"$1,269.56 ",497,$38.09 ,$63.48 ,Beverie,Moffet
Beverie Moffet,India,Eclairs,09-06-23,"$11,130.52 ",144,$333.92 ,$556.53 ,Beverie,Moffet
Andria Kimpton,India,Eclairs,16-05-23,"$2,455.09 ",83,$73.65 ,$122.75 ,Andria,Kimpton
Gigi Bohling,UK,85% Dark Bars,23-06-23,"$12,764.94 ",100,$382.95 ,$638.25 ,Gigi,Bohling
Roddy Speechley,UK,Raspberry Choco,28-01-23,"$13,351.42 ",198,$400.54 ,$667.57 ,Roddy,Speechley
Dotty Strutley,UK,Mint Chip Choco,14-07-23,"$2,763.22 ",223,$82.90 ,$138.16 ,Dotty,Strutley
Barr Faughny,Canada,Drinking Coco,18-04-23,"$6,523.34 ",245,$195.70 ,$326.17 ,Barr,Faughny
Oby Sorrel,USA,Milk Bars,14-06-23,"$1,868.25 ",82,$56.05 ,$93.41 ,Oby,Sorrel
Oby Sorrel,UK,Orange Choco,15-04-23,"$8,431.83 ",251,$252.95 ,$421.59 ,Oby,Sorrel
Curtice Advani,Canada,Peanut Butter Cubes,19-05-23,"$5,646.99 ",64,$169.41 ,$282.35 ,Curtice,Advani
Gigi Bohling,India,White Choc,13-04-23,"$1,484.67 ",180,$44.54 ,$74.23 ,Gigi,Bohling
Husein Augar,Canada,Choco Coated Almonds,15-08-23,"$3,859.95 ",395,$115.80 ,$193.00 ,Husein,Augar
Wilone O'Kielt,India,Choco Coated Almonds,22-08-23,"$3,237.30 ",227,$97.12 ,$161.87 ,Wilone,O'Kielt
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22-04-23,"$4,072.43 ",64,$122.17 ,$203.62 ,Wilone,O'Kielt
Kaine Padly,UK,Choco Coated Almonds,03-08-23,"$8,054.87 ",118,$241.65 ,$402.74 ,Kaine,Padly
Dennison Crosswaite,New Zealand,Organic Choco Syrup,04-01-23,$420.30 ,224,$12.61 ,$21.02 ,Dennison,Crosswaite
Kelci Walkden,Canada,After Nines,13-01-23,"$17,073.99 ",218,$512.22 ,$853.70 ,Kelci,Walkden
Van Tuxwell,Australia,Baker's Choco Chips,11-05-23,"$13,624.31 ",33,$408.73 ,$681.22 ,Van,Tuxwell
Husein Augar,New Zealand,Peanut Butter Cubes,16-02-23,"$2,318.46 ",235,$69.55 ,$115.92 ,Husein,Augar
Kaine Padly,UK,Caramel Stuffed Bars,20-05-23,"$10,740.05 ",67,$322.20 ,$537.00 ,Kaine,Padly
Jehu Rudeforth,UK,Drinking Coco,03-02-23,"$7,624.67 ",422,$228.74 ,$381.23 ,Jehu,Rudeforth
Beverie Moffet,India,Manuka Honey Choco,06-05-23,"$10,168.32 ",159,$305.05 ,$508.42 ,Beverie,Moffet
Gunar Cockshoot,UK,Choco Coated Almonds,30-06-23,"$6,635.15 ",141,$199.05 ,$331.76 ,Gunar,Cockshoot
Gunar Cockshoot,UK,Smooth Sliky Salty,22-03-23,$860.12 ,158,$25.80 ,$43.01 ,Gunar,Cockshoot
Camilla Castle,Canada,Orange Choco,17-02-23,"$8,671.21 ",52,$260.14 ,$433.56 ,Camilla,Castle
Jehu Rudeforth,UK,85% Dark Bars,07-07-23,"$5,534.11 ",63,$166.02 ,$276.71 ,Jehu,Rudeforth
Oby Sorrel,UK,70% Dark Bites,16-03-23,"$6,800.26 ",187,$204.01 ,$340.01 ,Oby,Sorrel
Kelci Walkden,UK,99% Dark & Pure,12-08-23,"$3,927.83 ",123,$117.83 ,$196.39 ,Kelci,Walkden
Gigi Bohling,New Zealand,After Nines,21-01-23,"$5,833.80 ",196,$175.01 ,$291.69 ,Gigi,Bohling
Oby Sorrel,Australia,50% Dark Bites,06-05-23,$733.08 ,147,$21.99 ,$36.65 ,Oby,Sorrel
Oby Sorrel,Canada,50% Dark Bites,24-06-23,"$7,164.51 ",140,$214.94 ,$358.23 ,Oby,Sorrel
Barr Faughny,USA,White Choc,05-05-23,"$7,900.52 ",175,$237.02 ,$395.03 ,Barr,Faughny
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25-03-23,"$3,550.76 ",85,$106.52 ,$177.54 ,Rafaelita,Blaksland
Curtice Advani,Australia,Caramel Stuffed Bars,14-02-23,"$10,281.51 ",136,$308.45 ,$514.08 ,Curtice,Advani
Curtice Advani,New Zealand,85% Dark Bars,12-05-23,"$5,936.81 ",180,$178.10 ,$296.84 ,Curtice,Advani
Barr Faughny,New Zealand,Smooth Sliky Salty,25-01-23,"$4,552.15 ",172,$136.56 ,$227.61 ,Barr,Faughny
Ches Bonnell,UK,85% Dark Bars,28-06-23,"$15,944.86 ",11,$478.35 ,$797.24 ,Ches,Bonnell
Dennison Crosswaite,Australia,Drinking Coco,13-07-23,"$7,722.58 ",188,$231.68 ,$386.13 ,Dennison,Crosswaite
Roddy Speechley,USA,Milk Bars,16-05-23,"$3,105.38 ",268,$93.16 ,$155.27 ,Roddy,Speechley
Jan Morforth,India,After Nines,14-03-23,"$6,994.35 ",179,$209.83 ,$349.72 ,Jan,Morforth
Gunar Cockshoot,USA,After Nines,15-08-23,"$4,264.49 ",252,$127.93 ,$213.22 ,Gunar,Cockshoot
Ches Bonnell,India,Orange Choco,16-02-23,"$1,215.30 ",271,$36.46 ,$60.77 ,Ches,Bonnell
Mallorie Waber,UK,Manuka Honey Choco,15-06-23,"$8,519.37 ",45,$255.58 ,$425.97 ,Mallorie,Waber
Barr Faughny,Australia,Raspberry Choco,27-05-23,"$9,810.95 ",105,$294.33 ,$490.55 ,Barr,Faughny
Wilone O'Kielt,USA,Drinking Coco,14-06-23,"$1,065.63 ",107,$31.97 ,$53.28 ,Wilone,O'Kielt
Wilone O'Kielt,India,Eclairs,25-02-23,"$3,894.68 ",80,$116.84 ,$194.73 ,Wilone,O'Kielt
Wilone O'Kielt,India,After Nines,04-08-23,"$12,194.27 ",252,$365.83 ,$609.71 ,Wilone,O'Kielt
Kelci Walkden,India,99% Dark & Pure,28-06-23,"$2,455.13 ",236,$73.65 ,$122.76 ,Kelci,Walkden
Gunar Cockshoot,Canada,Spicy Special Slims,05-04-23,"$14,887.76 ",12,$446.63 ,$744.39 ,Gunar,Cockshoot
Madelene Upcott,Canada,Peanut Butter Cubes,05-07-23,"$15,276.46 ",121,$458.29 ,$763.82 ,Madelene,Upcott
Kaine Padly,New Zealand,Eclairs,20-01-23,"$13,520.48 ",47,$405.61 ,$676.02 ,Kaine,Padly
Ches Bonnell,New Zealand,Drinking Coco,16-02-23,"$9,195.53 ",127,$275.87 ,$459.78 ,Ches,Bonnell
Curtice Advani,UK,Drinking Coco,12-07-23,$460.98 ,182,$13.83 ,$23.05 ,Curtice,Advani
Kelci Walkden,India,Raspberry Choco,16-06-23,"$8,216.56 ",257,$246.50 ,$410.83 ,Kelci,Walkden
Dotty Strutley,Australia,Choco Coated Almonds,13-04-23,"$1,863.54 ",277,$55.91 ,$93.18 ,Dotty,Strutley
Kaine Padly,UK,50% Dark Bites,21-02-23,"$3,283.00 ",72,$98.49 ,$164.15 ,Kaine,Padly
Roddy Speechley,Canada,Choco Coated Almonds,11-05-23,"$5,967.18 ",247,$179.02 ,$298.36 ,Roddy,Speechley
Ches Bonnell,India,50% Dark Bites,15-04-23,"$12,083.50 ",334,$362.51 ,$604.18 ,Ches,Bonnell
Oby Sorrel,Canada,Peanut Butter Cubes,07-06-23,"$12,397.06 ",179,$371.91 ,$619.85 ,Oby,Sorrel
Oby Sorrel,UK,White Choc,27-06-23,"$1,746.01 ",280,$52.38 ,$87.30 ,Oby,Sorrel
Barr Faughny,India,After Nines,29-07-23,"$9,021.65 ",104,$270.65 ,$451.08 ,Barr,Faughny
Wilone O'Kielt,Canada,Smooth Sliky Salty,02-06-23,"$5,263.45 ",165,$157.90 ,$263.17 ,Wilone,O'Kielt
Rafaelita Blaksland,India,Mint Chip Choco,26-01-23,"$15,473.00 ",91,$464.19 ,$773.65 ,Rafaelita,Blaksland
Rafaelita Blaksland,Canada,99% Dark & Pure,02-03-23,"$5,566.57 ",140,$167.00 ,$278.33 ,Rafaelita,Blaksland
Van Tuxwell,Australia,70% Dark Bites,10-01-23,"$8,111.43 ",111,$243.34 ,$405.57 ,Van,Tuxwell
Beverie Moffet,USA,70% Dark Bites,27-06-23,"$2,341.80 ",117,$70.25 ,$117.09 ,Beverie,Moffet
Barr Faughny,Canada,Orange Choco,30-06-23,"$8,650.42 ",19,$259.51 ,$432.52 ,Barr,Faughny
Roddy Speechley,Australia,85% Dark Bars,08-07-23,"$4,444.72 ",77,$133.34 ,$222.24 ,Roddy,Speechley
Oby Sorrel,India,Spicy Special Slims,08-06-23,"$12,531.37 ",86,$375.94 ,$626.57 ,Oby,Sorrel
Jan Morforth,UK,Manuka Honey Choco,18-08-23,"$3,558.89 ",231,$106.77 ,$177.94 ,Jan,Morforth
Kaine Padly,Australia,After Nines,08-04-23,"$7,889.90 ",300,$236.70 ,$394.50 ,Kaine,Padly
Wilone O'Kielt,Canada,Fruit & Nut Bars,08-08-23,"$3,589.18 ",176,$107.68 ,$179.46 ,Wilone,O'Kielt
Wilone O'Kielt,UK,Milk Bars,26-08-23,$305.39 ,62,$9.16 ,$15.27 ,Wilone,O'Kielt
Oby Sorrel,Canada,Fruit & Nut Bars,14-01-23,"$1,896.64 ",161,$56.90 ,$94.83 ,Oby,Sorrel
Dennison Crosswaite,USA,Baker's Choco Chips,11-08-23,"$18,494.72 ",298,$554.84 ,$924.74 ,Dennison,Crosswaite
Madelene Upcott,USA,Almond Choco,31-05-23,"$11,103.47 ",24,$333.10 ,$555.17 ,Madelene,Upcott
Van Tuxwell,New Zealand,50% Dark Bites,11-07-23,"$4,162.28 ",11,$124.87 ,$208.11 ,Van,Tuxwell
Karlen McCaffrey,Canada,Caramel Stuffed Bars,02-03-23,"$3,357.30 ",308,$100.72 ,$167.87 ,Karlen,McCaffrey
Madelene Upcott,Australia,Raspberry Choco,13-07-23,"$7,033.52 ",94,$211.01 ,$351.68 ,Madelene,Upcott
Rafaelita Blaksland,UK,Spicy Special Slims,03-08-23,"$9,896.80 ",143,$296.90 ,$494.84 ,Rafaelita,Blaksland
Curtice Advani,UK,Peanut Butter Cubes,01-03-23,"$15,653.44 ",175,$469.60 ,$782.67 ,Curtice,Advani
Kelci Walkden,New Zealand,White Choc,13-04-23,"$7,899.31 ",148,$236.98 ,$394.97 ,Kelci,Walkden
Beverie Moffet,Canada,Fruit & Nut Bars,14-02-23,"$10,644.74 ",172,$319.34 ,$532.24 ,Beverie,Moffet
Mallorie Waber,India,White Choc,26-07-23,$872.83 ,224,$26.18 ,$43.64 ,Mallorie,Waber
Brien Boise,UK,Drinking Coco,27-01-23,"$6,337.94 ",128,$190.14 ,$316.90 ,Brien,Boise
Jehu Rudeforth,India,Peanut Butter Cubes,14-04-23,$31.15 ,451,$0.93 ,$1.56 ,Jehu,Rudeforth
Oby Sorrel,USA,Almond Choco,19-05-23,"$7,107.55 ",142,$213.23 ,$355.38 ,Oby,Sorrel
Husein Augar,India,Eclairs,09-02-23,"$5,465.85 ",56,$163.98 ,$273.29 ,Husein,Augar
Brien Boise,UK,Spicy Special Slims,25-05-23,"$2,462.14 ",60,$73.86 ,$123.11 ,Brien,Boise
Oby Sorrel,Australia,Manuka Honey Choco,26-01-23,"$4,194.44 ",80,$125.83 ,$209.72 ,Oby,Sorrel
Beverie Moffet,India,White Choc,04-07-23,"$1,994.44 ",299,$59.83 ,$99.72 ,Beverie,Moffet
Ches Bonnell,India,Almond Choco,13-04-23,"$12,124.05 ",80,$363.72 ,$606.20 ,Ches,Bonnell
Gigi Bohling,Australia,Smooth Sliky Salty,25-01-23,"$5,884.09 ",117,$176.52 ,$294.20 ,Gigi,Bohling
Camilla Castle,USA,85% Dark Bars,25-04-23,"$2,639.16 ",80,$79.17 ,$131.96 ,Camilla,Castle
Camilla Castle,USA,Eclairs,10-06-23,"$5,031.40 ",401,$150.94 ,$251.57 ,Camilla,Castle
Madelene Upcott,New Zealand,White Choc,22-08-23,"$11,510.71 ",56,$345.32 ,$575.54 ,Madelene,Upcott
Van Tuxwell,India,After Nines,27-06-23,"$15,021.98 ",211,$450.66 ,$751.10 ,Van,Tuxwell
Husein Augar,India,Orange Choco,30-06-23,"$4,517.19 ",40,$135.52 ,$225.86 ,Husein,Augar
Jehu Rudeforth,India,Almond Choco,30-08-23,"$10,778.53 ",99,$323.36 ,$538.93 ,Jehu,Rudeforth
Karlen McCaffrey,Australia,Raspberry Choco,23-08-23,"$1,145.72 ",60,$34.37 ,$57.29 ,Karlen,McCaffrey
Camilla Castle,New Zealand,99% Dark & Pure,26-08-23,"$2,518.50 ",45,$75.56 ,$125.93 ,Camilla,Castle
Gigi Bohling,Australia,Orange Choco,09-03-23,$596.63 ,158,$17.90 ,$29.83 ,Gigi,Bohling
Kelci Walkden,UK,Drinking Coco,20-04-23,"$1,858.71 ",24,$55.76 ,$92.94 ,Kelci,Walkden
Mallorie Waber,Canada,Caramel Stuffed Bars,10-06-23,"$5,194.28 ",547,$155.83 ,$259.71 ,Mallorie,Waber
Husein Augar,Australia,Organic Choco Syrup,08-02-23,$960.69 ,155,$28.82 ,$48.03 ,Husein,Augar
Brien Boise,Australia,White Choc,25-08-23,"$5,347.12 ",23,$160.41 ,$267.36 ,Brien,Boise
Dotty Strutley,India,Peanut Butter Cubes,16-02-23,"$9,805.11 ",76,$294.15 ,$490.26 ,Dotty,Strutley
Dennison Crosswaite,UK,99% Dark & Pure,30-05-23,"$13,205.42 ",26,$396.16 ,$660.27 ,Dennison,Crosswaite
Gigi Bohling,New Zealand,50% Dark Bites,29-06-23,"$5,929.20 ",65,$177.88 ,$296.46 ,Gigi,Bohling
Gigi Bohling,USA,Milk Bars,16-06-23,$516.92 ,141,$15.51 ,$25.85 ,Gigi,Bohling
